country,ghi_score,year
Armenia,20.3,2000
Belarus,4.9,2000
Bosnia & Herzegovina,9.5,2000
Bulgaria,8.6,2000
Chile,4.9,2000
China,13.8,2000
Costa Rica,5.9,2000
Croatia,7.1,2000
Estonia,4.9,2000
Georgia,11.8,2000
Hungary,4.9,2000
Kazakhstan,12.0,2000
Kuwait,4.9,2000
Latvia,5.3,2000
Lithuania,5.0,2000
North Macedonia,7.4,2000
Romania,8.1,2000
Russian Federation,10.6,2000
Slovakia,5.3,2000
Türkiye,14.8,2000
United Arab Emirates,4.9,2000
Uruguay,7.9,2000
Uzbekistan,25.7,2000
Moldova (Rep. of),18.1,2000
Mongolia,29.5,2000
Paraguay,12.8,2000
Azerbaijan,25.2,2000
Saudi Arabia,10.1,2000
Mexico,9.8,2000
Colombia,10.7,2000
Tunisia,9.1,2000
Argentina,6.5,2000
Brazil,11.6,2000
Dominican Republic,15.2,2000
Albania,15.3,2000
Algeria,14.1,2000
Peru,21.1,2000
Iran (Islamic Republic of),12.4,2000
Panama,17.3,2000
El Salvador,13.6,2000
Jamaica,8.3,2000
Kyrgyzstan,18.4,2000
Guyana,17.0,2000
Lebanon,11.1,2000
Morocco,15.6,2000
Cabo Verde,16.2,2000
Venezuela (Boliv. Rep. of),14.3,2000
Thailand,17.5,2000
Turkmenistan,19.9,2000
Fiji,9.2,2000
Oman,16.2,2000
Jordan,10.2,2000
Suriname,14.9,2000
Ukraine,12.8,2000
Egypt,16.4,2000
Ecuador,19.1,2000
Trinidad & Tobago,11.2,2000
Viet Nam,25.7,2000
Sri Lanka,22.1,2000
Honduras,21.7,2000
Iraq,22.9,2000
Tajikistan,39.3,2000
Ghana,29.0,2000
Mauritius,15.3,2000
Philippines,23.9,2000
Malaysia,15.1,2000
Libya,11.9,2000
Bolivia (Plurinat. State of),27.0,2000
Indonesia,25.0,2000
Nepal,37.0,2000
Cambodia,39.8,2000
South Africa,17.1,2000
Myanmar,41.5,2000
Senegal,32.5,2000
Eswatini,23.9,2000
Cameroon,36.8,2000
Comoros,35.7,2000
Gambia,29.5,2000
Togo,37.6,2000
Guatemala,29.0,2000
Gabon,19.8,2000
Namibia,26.6,2000
Bangladesh,34.6,2000
Mauritania,31.3,2000
Nicaragua,21.4,2000
Uganda,36.0,2000
Côte d'Ivoire,32.8,2000
Solomon Islands,18.9,2000
Zimbabwe,35.5,2000
Tanzania (United Rep. of),40.3,2000
Rwanda,49.7,2000
Botswana,29.9,2000
Djibouti,44.8,2000
Malawi,43.3,2000
Mali,40.3,2000
Congo (Republic of),35.1,2000
Burkina Faso,44.5,2000
Guinea,36.8,2000
Ethiopia,53.0,2000
Guinea-Bissau,37.6,2000
India,38.1,2000
Benin,32.2,2000
Kenya,35.7,2000
Mozambique,46.8,2000
Pakistan,36.2,2000
Sierra Leone,57.8,2000
Afghanistan,49.6,2000
Zambia,51.2,2000
Angola,63.8,2000
Liberia,47.7,2000
Syrian Arab Republic,14.8,2000
Papua New Guinea,31.3,2000
Nigeria,38.2,2000
Central African Republic,46.8,2000
Niger,52.7,2000
Chad,49.6,2000
Korea (DPR),43.8,2000
Haiti,40.2,2000
Madagascar,42.0,2000
Dem. Rep. of the Congo,46.1,2000
Somalia,64.3,2000
Armenia,10.8,2008
Belarus,4.9,2008
Bosnia & Herzegovina,6.1,2008
Bulgaria,8.1,2008
Chile,4.9,2008
China,7.3,2008
Costa Rica,4.9,2008
Croatia,4.9,2008
Estonia,4.9,2008
Georgia,8.0,2008
Hungary,4.9,2008
Kazakhstan,10.2,2008
Kuwait,4.9,2008
Latvia,4.9,2008
Lithuania,4.9,2008
Montenegro,5.8,2008
North Macedonia,5.5,2008
Romania,6.0,2008
Russian Federation,6.0,2008
Serbia,5.3,2008
Slovakia,4.9,2008
Türkiye,6.9,2008
United Arab Emirates,4.9,2008
Uruguay,4.9,2008
Uzbekistan,12.7,2008
Moldova (Rep. of),15.0,2008
Mongolia,17.3,2008
Paraguay,8.3,2008
Azerbaijan,14.1,2008
Saudi Arabia,8.5,2008
Mexico,9.2,2008
Colombia,10.3,2008
Tunisia,7.6,2008
Argentina,5.2,2008
Brazil,6.3,2008
Dominican Republic,12.8,2008
Albania,15.3,2008
Algeria,10.8,2008
Peru,12.9,2008
Iran (Islamic Republic of),9.5,2008
Panama,12.3,2008
El Salvador,11.6,2008
Jamaica,8.3,2008
Kyrgyzstan,12.2,2008
Guyana,15.3,2008
Lebanon,8.3,2008
Morocco,11.5,2008
Cabo Verde,13.1,2008
Venezuela (Boliv. Rep. of),8.7,2008
Thailand,12.3,2008
Turkmenistan,14.3,2008
Fiji,10.2,2008
Oman,10.2,2008
Jordan,7.6,2008
Suriname,10.4,2008
Ukraine,10.0,2008
Egypt,15.5,2008
Ecuador,14.6,2008
Trinidad & Tobago,11.0,2008
Viet Nam,19.7,2008
Sri Lanka,17.6,2008
Honduras,15.9,2008
Iraq,19.2,2008
Tajikistan,26.9,2008
Ghana,21.5,2008
Mauritius,13.2,2008
Philippines,21.4,2008
Malaysia,13.9,2008
Libya,14.8,2008
Bolivia (Plurinat. State of),20.9,2008
Indonesia,27.8,2008
Nepal,28.5,2008
Cambodia,24.7,2008
South Africa,16.4,2008
Myanmar,28.3,2008
Senegal,20.9,2008
Eswatini,25.8,2008
Cameroon,26.9,2008
Comoros,25.7,2008
Gambia,23.3,2008
Togo,27.7,2008
Guatemala,23.8,2008
Gabon,18.4,2008
Namibia,27.1,2008
Bangladesh,32.5,2008
Mauritania,20.1,2008
Nicaragua,17.1,2008
Uganda,28.6,2008
Côte d'Ivoire,33.2,2008
Solomon Islands,18.8,2008
Zimbabwe,29.6,2008
Tanzania (United Rep. of),29.4,2008
Rwanda,36.4,2008
Botswana,27.2,2008
Djibouti,32.8,2008
Malawi,28.5,2008
Mali,31.3,2008
Congo (Republic of),32.2,2008
Burkina Faso,34.4,2008
Guinea,31.9,2008
Ethiopia,37.5,2008
Guinea-Bissau,30.4,2008
India,34.6,2008
Benin,25.5,2008
Kenya,28.7,2008
Mozambique,32.7,2008
Pakistan,32.3,2008
Timor-Leste,42.2,2008
Sierra Leone,41.1,2008
Afghanistan,32.7,2008
Zambia,41.4,2008
Angola,35.3,2008
Liberia,36.8,2008
Syrian Arab Republic,17.0,2008
Papua New Guinea,32.8,2008
Nigeria,32.3,2008
Central African Republic,41.9,2008
Niger,39.0,2008
Chad,43.8,2008
Korea (DPR),30.8,2008
Haiti,37.2,2008
Madagascar,36.6,2008
Dem. Rep. of the Congo,39.5,2008
Somalia,60.5,2008
Armenia,6.7,2016
Belarus,4.9,2016
Bosnia & Herzegovina,5.0,2016
Bulgaria,7.3,2016
Chile,4.9,2016
China,4.9,2016
Costa Rica,4.9,2016
Croatia,4.9,2016
Estonia,4.9,2016
Georgia,5.7,2016
Hungary,4.9,2016
Kazakhstan,5.7,2016
Kuwait,4.9,2016
Latvia,4.9,2016
Lithuania,4.9,2016
Montenegro,4.9,2016
North Macedonia,4.9,2016
Romania,4.9,2016
Russian Federation,5.5,2016
Serbia,4.9,2016
Slovakia,4.9,2016
Türkiye,4.9,2016
United Arab Emirates,4.9,2016
Uruguay,4.9,2016
Uzbekistan,5.7,2016
Moldova (Rep. of),5.8,2016
Mongolia,8.0,2016
Paraguay,5.2,2016
Azerbaijan,8.1,2016
Saudi Arabia,6.6,2016
Mexico,7.1,2016
Colombia,7.1,2016
Tunisia,6.1,2016
Argentina,5.3,2016
Brazil,5.4,2016
Dominican Republic,8.6,2016
Albania,6.7,2016
Algeria,8.0,2016
Peru,8.0,2016
Iran (Islamic Republic of),8.3,2016
Panama,9.2,2016
El Salvador,8.9,2016
Jamaica,8.3,2016
Kyrgyzstan,8.9,2016
Guyana,10.7,2016
Lebanon,7.1,2016
Morocco,8.6,2016
Cabo Verde,11.5,2016
Venezuela (Boliv. Rep. of),14.2,2016
Thailand,10.4,2016
Turkmenistan,10.2,2016
Fiji,10.6,2016
Oman,12.0,2016
Jordan,7.7,2016
Suriname,10.8,2016
Ukraine,9.7,2016
Egypt,14.5,2016
Ecuador,11.3,2016
Trinidad & Tobago,9.7,2016
Viet Nam,14.1,2016
Sri Lanka,14.1,2016
Honduras,13.1,2016
Iraq,14.7,2016
Tajikistan,15.3,2016
Ghana,16.5,2016
Mauritius,12.8,2016
Philippines,17.7,2016
Malaysia,13.4,2016
Libya,16.3,2016
Bolivia (Plurinat. State of),14.0,2016
Indonesia,18.2,2016
Nepal,20.6,2016
Cambodia,17.7,2016
South Africa,12.9,2016
Myanmar,16.8,2016
Senegal,16.8,2016
Eswatini,18.9,2016
Cameroon,20.4,2016
Comoros,20.5,2016
